variant,fold,accuracy,precision,recall,sensitivity,specificity,f1,auc,threshold,tp,tn,fp,fn,best_calib_auc,recall_by_size
inceptentionnet,0,0.73407917383821,0.7034407427635172,0.9449743213499632,0.9449743213499632,0.4349635796045785,0.8065122103944896,0.7280002259812817,0.2515601515769958,1288,418,543,75,0.7840702034866636,"{""large"": {""n"": 87, ""recall"": 0.9655172413793104}, ""medium"": {""n"": 160, ""recall"": 0.9625}, ""small"": {""n"": 378, ""recall"": 0.9417989417989417}, ""tiny"": {""n"": 738, ""recall"": 0.940379403794038}}"
inceptentionnet,1,0.7455621301775148,0.7282392026578073,0.8796147672552167,0.8796147672552167,0.5699263932702419,0.7968011632133769,0.7870696217380371,0.578914225101471,1096,542,409,150,0.7284209028927928,"{""large"": {""n"": 100, ""recall"": 0.9}, ""medium"": {""n"": 160, ""recall"": 0.91875}, ""small"": {""n"": 302, ""recall"": 0.8841059602649006}, ""tiny"": {""n"": 684, ""recall"": 0.8654970760233918}}"
inceptentionnet,2,0.7344481605351171,0.7215130023640662,0.8815713460427499,0.8815713460427499,0.5321683876092137,0.7935517420696828,0.7575272021801206,0.3876528739929199,1526,670,589,205,0.7245608983587676,"{""large"": {""n"": 87, ""recall"": 0.8505747126436781}, ""medium"": {""n"": 168, ""recall"": 0.8452380952380952}, ""small"": {""n"": 522, ""recall"": 0.8639846743295019}, ""tiny"": {""n"": 954, ""recall"": 0.90041928721174}}"
resnet50,0,0.7762478485370051,0.8052136133236785,0.8158473954512105,0.8158473954512105,0.7200832466181062,0.8104956268221575,0.8725999986257895,0.413152664899826,1112,692,269,251,0.8943421068099263,"{""large"": {""n"": 87, ""recall"": 0.8620689655172413}, ""medium"": {""n"": 160, ""recall"": 0.9375}, ""small"": {""n"": 378, ""recall"": 0.8968253968253969}, ""tiny"": {""n"": 738, ""recall"": 0.7425474254742548}}"
resnet50,1,0.7592171142467,0.9005586592178771,0.6468699839486356,0.6468699839486356,0.9064143007360672,0.7529191966370855,0.8794577980768743,0.5119357109069824,806,862,89,440,0.9054330044606116,"{""large"": {""n"": 100, ""recall"": 0.86}, ""medium"": {""n"": 160, ""recall"": 0.85625}, ""small"": {""n"": 302, ""recall"": 0.7781456953642384}, ""tiny"": {""n"": 684, ""recall"": 0.5087719298245614}}"
resnet50,2,0.7494983277591973,0.7796127562642369,0.7908723281340265,0.7908723281340265,0.6926131850675139,0.7852021795239461,0.8515644035388875,0.3740506470203399,1369,872,387,362,0.8765735675208755,"{""large"": {""n"": 87, ""recall"": 0.9770114942528736}, ""medium"": {""n"": 168, ""recall"": 0.9404761904761905}, ""small"": {""n"": 522, ""recall"": 0.8697318007662835}, ""tiny"": {""n"": 954, ""recall"": 0.7044025157232704}}"
efficientnet_only,0,0.7611876075731497,0.7686170212765957,0.8481291269258987,0.8481291269258987,0.6378772112382934,0.8064178583885595,0.8166765024510572,0.2308388501405716,1156,613,348,207,0.8445930854502922,"{""large"": {""n"": 87, ""recall"": 0.8735632183908046}, ""medium"": {""n"": 160, ""recall"": 0.90625}, ""small"": {""n"": 378, ""recall"": 0.8544973544973545}, ""tiny"": {""n"": 738, ""recall"": 0.8292682926829268}}"
efficientnet_only,1,0.6936731907146109,0.8025343189017952,0.6099518459069021,0.6099518459069021,0.8033648790746583,0.6931144550843593,0.8043168211884761,0.5758091807365417,760,764,187,486,0.844782913521038,"{""large"": {""n"": 100, ""recall"": 0.81}, ""medium"": {""n"": 160, ""recall"": 0.81875}, ""small"": {""n"": 302, ""recall"": 0.6920529801324503}, ""tiny"": {""n"": 684, ""recall"": 0.4956140350877193}}"
efficientnet_only,2,0.7334448160535118,0.7632468996617813,0.782206816868862,0.782206816868862,0.6664019062748213,0.7726105563480742,0.8148934832693918,0.4077599048614502,1354,839,420,377,0.8276993953354448,"{""large"": {""n"": 87, ""recall"": 0.9195402298850575}, ""medium"": {""n"": 168, ""recall"": 0.9047619047619048}, ""small"": {""n"": 522, ""recall"": 0.7796934865900383}, ""tiny"": {""n"": 954, ""recall"": 0.749475890985325}}"
fpn_mamba_full,0,0.7358003442340791,0.8113050706566916,0.7160674981658107,0.7160674981658107,0.7637877211238293,0.7607170693686672,0.8332334485888767,0.7802768349647522,976,734,227,387,0.848254904957269,"{""large"": {""n"": 87, ""recall"": 0.8620689655172413}, ""medium"": {""n"": 160, ""recall"": 0.8875}, ""small"": {""n"": 378, ""recall"": 0.7222222222222222}, ""tiny"": {""n"": 738, ""recall"": 0.6585365853658537}}"
fpn_mamba_full,1,0.7155211652253073,0.8327974276527331,0.6235955056179775,0.6235955056179775,0.8359621451104101,0.7131711794401101,0.8333704658271347,0.95,777,795,156,469,0.8521190444740238,"{""large"": {""n"": 100, ""recall"": 0.81}, ""medium"": {""n"": 160, ""recall"": 0.80625}, ""small"": {""n"": 302, ""recall"": 0.6821192052980133}, ""tiny"": {""n"": 684, ""recall"": 0.5277777777777778}}"
fpn_mamba_full,2,0.7307692307692307,0.7505411255411255,0.8012709416522241,0.8012709416522241,0.6338363780778395,0.7750768371053367,0.812748327581563,0.17659388482570648,1387,798,461,344,0.8227123524330551,"{""large"": {""n"": 87, ""recall"": 0.9310344827586207}, ""medium"": {""n"": 168, ""recall"": 0.9047619047619048}, ""small"": {""n"": 522, ""recall"": 0.8314176245210728}, ""tiny"": {""n"": 954, ""recall"": 0.7547169811320755}}"
