variant,fold,accuracy,precision,recall,sensitivity,specificity,f1,auc,threshold,tp,tn,fp,fn,best_calib_auc,wall_clock_sec
inceptentionnet,0,0.73407917383821,0.7034407427635172,0.9449743213499632,0.9449743213499632,0.4349635796045785,0.8065122103944896,0.7280002259812817,0.2515601515769958,1288,418,543,75,0.7840702034866636,
inceptentionnet,1,0.7455621301775148,0.7282392026578073,0.8796147672552167,0.8796147672552167,0.5699263932702419,0.7968011632133769,0.7870696217380371,0.578914225101471,1096,542,409,150,0.7284209028927928,
inceptentionnet,2,0.7344481605351171,0.7215130023640662,0.8815713460427499,0.8815713460427499,0.5321683876092137,0.7935517420696828,0.7575272021801206,0.3876528739929199,1526,670,589,205,0.7245608983587676,
resnet50,0,0.7762478485370051,0.8052136133236785,0.8158473954512105,0.8158473954512105,0.7200832466181062,0.8104956268221575,0.8725999986257895,0.413152664899826,1112,692,269,251,0.8943421068099263,
resnet50,1,0.7592171142467,0.9005586592178771,0.6468699839486356,0.6468699839486356,0.9064143007360672,0.7529191966370855,0.8794577980768743,0.5119357109069824,806,862,89,440,0.9054330044606116,
resnet50,2,0.7494983277591973,0.7796127562642369,0.7908723281340265,0.7908723281340265,0.6926131850675139,0.7852021795239461,0.8515644035388875,0.3740506470203399,1369,872,387,362,0.8765735675208755,
efficientnet_only,0,0.7611876075731497,0.7686170212765957,0.8481291269258987,0.8481291269258987,0.6378772112382934,0.8064178583885595,0.8166765024510572,0.2308388501405716,1156,613,348,207,0.8445930854502922,
efficientnet_only,1,0.6936731907146109,0.8025343189017952,0.6099518459069021,0.6099518459069021,0.8033648790746583,0.6931144550843593,0.8043168211884761,0.5758091807365417,760,764,187,486,0.844782913521038,
efficientnet_only,2,0.7334448160535118,0.7632468996617813,0.782206816868862,0.782206816868862,0.6664019062748213,0.7726105563480742,0.8148934832693918,0.4077599048614502,1354,839,420,377,0.8276993953354448,
fpn_standard,0,0.7637693631669535,0.7566204287515763,0.880410858400587,0.880410858400587,0.5983350676378772,0.8138351983723296,0.8351611605360336,0.3882429301738739,1200,575,386,163,0.8412604182585491,
fpn_standard,1,0.7437414656349568,0.7857740585774059,0.7536115569823435,0.7536115569823435,0.7308096740273397,0.7693568209750102,0.8306353200905359,0.7726033329963684,939,695,256,307,0.8303748336161435,
fpn_standard,2,0.7080267558528428,0.7514654161781946,0.7406123627960717,0.7406123627960717,0.6632247815726767,0.7459994180971777,0.8069915097720446,0.3833383321762085,1282,835,424,449,0.8236855744313274,
fpn_locality,0,0.7706540447504303,0.7643312101910829,0.880410858400587,0.880410858400587,0.6149843912591051,0.8182748039549949,0.8552895270654575,0.19607578217983246,1200,591,370,163,0.864101237847814,809.6657598018646
fpn_locality,1,0.7505689576695493,0.7430362116991643,0.8563402889245586,0.8563402889245586,0.61198738170347,0.7956748695003728,0.8291453787767544,0.382179319858551,1067,582,369,179,0.827900667567595,789.7251646518707
fpn_locality,2,0.7301003344481606,0.7195817490494296,0.8746389370306181,0.8746389370306181,0.5313741064336776,0.7895697522816167,0.7988445067266117,0.42320820689201355,1514,669,590,217,0.8271004894903542,723.7784345149994
fpn_cross_mamba,0,0.7590361445783133,0.7674883411059293,0.8451944240645635,0.8451944240645635,0.6368366285119667,0.8044692737430168,0.8419398355375415,0.343435138463974,1152,612,349,211,0.842718092797442,1146.2345113754272
fpn_cross_mamba,1,0.7441966317705963,0.7762520193861067,0.7712680577849117,0.7712680577849117,0.7087276550998949,0.7737520128824477,0.8357368183866607,0.27308592200279236,961,674,277,285,0.8514585894713312,1191.4926652908325
fpn_cross_mamba,2,0.7551839464882943,0.7261204164780444,0.926632004621606,0.926632004621606,0.5194598888006354,0.8142131979695432,0.8287775732805831,0.32781416177749634,1604,654,605,127,0.8255917074575294,891.8194758892059
fpn_mamba_full,0,0.729776247848537,0.810126582278481,0.7043286867204696,0.7043286867204696,0.7658688865764828,0.7535321821036107,0.8307029926487373,0.6687275767326355,960,736,225,403,0.8527219720925859,1120.1763846874237
fpn_mamba_full,1,0.7323623122439691,0.8391752577319588,0.6532905296950241,0.6532905296950241,0.8359621451104101,0.7346570397111913,0.8421649594158721,0.8084778785705566,814,795,156,432,0.8612841277421583,1189.7059280872345
fpn_mamba_full,2,0.7545150501672241,0.7573567372225091,0.8474870017331022,0.8474870017331022,0.6266878474980143,0.7998909487459106,0.8234337266195237,0.10798317193984985,1467,789,470,264,0.8336251079758134,922.287335395813
